ward,area_sqm,rooms,floor,building_age,distance_to_station_min,amenity_score,has_balcony,has_parking,is_remodeled,price_million_yen
Sumida,53.49,2,21,2.5,1.4,100.0,0,1,0,134.71
Adachi,54.24,2,26,11.2,4.5,99.1,0,0,0,85.04
Suginami,25.71,2,25,0.7,7.5,99.9,0,0,0,111.02
Nerima,61.25,3,28,2.0,5.5,97.3,1,1,0,129.06
Katsushika,20.0,2,16,5.9,6.8,76.0,1,1,0,102.49
Shibuya,119.25,3,15,2.7,1.0,79.2,0,0,0,202.47
Koto,96.83,3,7,15.8,19.7,68.1,1,1,0,158.72
Bunkyo,36.28,2,8,4.8,6.6,90.1,1,1,0,157.1
Nakano,171.17,4,10,8.7,1.8,87.2,1,1,0,221.33
Sumida,82.72,3,11,3.4,22.9,70.4,1,1,0,143.43
Adachi,77.71,2,30,32.2,3.1,96.9,0,0,1,130.72
Nerima,30.66,1,3,0.1,5.7,74.4,0,0,0,92.49
Katsushika,79.04,3,30,50.0,26.3,32.9,0,1,1,51.76
Katsushika,143.9,3,1,15.1,9.1,56.7,1,1,0,214.91
Kita,45.95,2,6,7.6,13.6,86.7,1,0,0,108.86
Shinjuku,82.94,2,3,24.9,3.4,97.4,1,1,1,114.94
Arakawa,94.41,5,25,10.9,2.4,82.9,1,1,0,174.47
Shinagawa,75.42,3,16,28.1,15.5,78.2,1,1,1,142.52
Koto,78.79,2,14,11.9,9.4,74.0,1,0,0,115.62
Nerima,36.09,1,8,28.4,8.6,74.2,1,0,0,62.73
Taito,69.66,4,27,23.8,5.6,93.0,1,1,0,124.57
Minato,99.32,4,17,50.0,5.1,95.9,1,1,1,197.66
Nakano,56.43,2,23,4.7,5.3,97.1,1,0,0,157.51
Edogawa,37.59,1,27,5.2,3.1,98.3,0,1,0,150.4
Shibuya,34.5,1,14,23.8,17.7,69.6,1,0,0,106.32
Katsushika,72.46,3,22,4.3,1.0,100.0,1,1,0,119.24
Setagaya,48.09,1,20,7.9,9.6,82.9,0,0,1,112.45
Edogawa,20.0,1,26,49.3,14.5,63.4,0,0,1,16.97
Katsushika,98.36,3,16,10.9,8.6,95.5,1,1,0,130.86
Katsushika,76.87,2,14,1.4,1.0,100.0,1,1,0,181.51
Meguro,70.05,3,13,2.7,1.0,100.0,1,0,0,212.5
Arakawa,89.86,3,1,9.2,6.3,85.9,1,1,0,166.45
Shibuya,53.65,1,18,17.2,1.0,85.3,1,1,0,170.96
Shinjuku,95.49,4,18,14.9,16.8,74.5,0,0,1,192.4
Minato,69.37,3,7,13.0,16.1,68.9,1,0,0,156.3
Kita,93.72,4,20,26.3,3.1,91.4,0,1,0,167.73
Sumida,73.11,3,26,15.0,4.8,93.2,0,0,0,148.28
Sumida,90.01,3,10,50.0,30.0,58.1,1,1,1,65.38
Kita,57.0,3,26,2.4,5.8,90.5,0,1,0,139.44
Sumida,83.75,4,4,6.5,9.9,56.9,1,0,0,132.78
Minato,52.77,2,20,1.9,1.0,83.1,1,1,0,221.32
Kita,82.05,2,1,3.8,26.4,49.4,0,1,1,117.5
