ward,ward_jp,floor_area_sqm,num_rooms,building_age_years,floor_number,total_floors,distance_to_station_min,building_type,direction,has_parking,has_balcony,has_security,is_corner_unit,transaction_year,transaction_month,price_man_yen,price_per_sqm,area_per_room,relative_floor,station_category,age_category,amenity_score
suginami,杉並区,23.2,1,2.9,14,15,14.3,빌라,남서,0,1,0,1,2022,7,2730,117.67241379310344,23.2,0.9333333333333333,버스권,신축,2
minato,港区,70.5,3,14.3,9,18,14.3,맨션,남서,0,1,1,1,2024,11,18180,257.8723404255319,23.5,0.5,버스권,준신축,4
minato,港区,43.2,1,13.2,8,15,4.9,맨션,남서,1,1,1,0,2023,4,11110,257.1759259259259,43.2,0.5333333333333333,도보권,준신축,5
shibuya,渋谷区,73.8,4,20.1,6,12,5.7,빌라,남서,0,0,1,1,2022,10,11660,157.99457994579947,18.45,0.5,도보권,중고,3
shibuya,渋谷区,73.6,2,46.4,9,14,14.3,맨션,남,0,1,0,0,2023,10,8100,110.05434782608697,36.8,0.6428571428571429,버스권,노후,1
itabashi,板橋区,41.7,2,5.9,8,9,1.8,아파트,북서,0,1,0,0,2023,3,3260,78.17745803357313,20.85,0.8888888888888888,역세권,준신축,1
chiyoda,千代田区,50.7,3,35.0,8,17,16.3,아파트,동,0,1,0,0,2025,3,5400,106.50887573964496,16.900000000000002,0.47058823529411764,원거리,노후,1
nerima,練馬区,49.6,2,7.7,10,10,5.9,빌라,북서,0,1,1,0,2023,10,3450,69.55645161290322,24.8,1.0,도보권,준신축,3
meguro,目黒区,53.6,2,7.1,9,12,3.8,아파트,남동,1,1,0,0,2021,3,8710,162.5,26.8,0.75,도보권,준신축,3
suginami,杉並区,52.7,2,9.7,4,9,1.0,아파트,남,0,1,0,0,2022,9,5990,113.66223908918406,26.35,0.4444444444444444,역세권,준신축,1
shinjuku,新宿区,90.0,4,2.6,10,16,1.7,아파트,남,0,1,1,0,2022,4,16650,185.0,22.5,0.625,역세권,신축,3
setagaya,世田谷区,65.5,3,3.4,13,18,2.9,맨션,서,1,1,0,0,2021,6,10150,154.9618320610687,21.833333333333332,0.7222222222222222,역세권,신축,3
setagaya,世田谷区,39.9,2,0.5,12,16,5.6,맨션,남,0,1,0,0,2020,12,6130,153.6340852130326,19.95,0.75,도보권,신축,1
chuo,中央区,77.1,4,0.0,12,19,1.7,맨션,남동,0,1,1,0,2022,9,20820,270.0389105058366,19.275,0.631578947368421,역세권,,3
